"stateDist","abroadPrcnt","recentArrivalPrcnt","totalPopBirthPlace","prcntForeignBorn","prcntExAliens","totalHouseholds","under10k","over10k","over15k","over25k","over35k","over50k","over75k","over100k","over150k","over200k","meanIncome","medianIncome","totalEmploymentPop","prcntUnemp","prcntNotEmploy","prcntBA","prcntHS","totalPopRaceFile","prcntAsian","prcntBlack","prcntBlackNotHisp","prcntHisp","prcntMulti","prcntWhite","prcntWhiteAll","prcntNotHisp","prcntOld","medianAge","gini","sponID","icpsr","state","district","lastName","firstName","middleName","age","gender","party","numberTerms","daysServed","fracServed","cd","statenm","dwnom1","dwnom2","comPower","chair","rank","comName","numCom","rankChair","black","hispanic","numSpon","numCosp","numPassH","numEnact","passPrcnt","congNum","partyControl","demSeats","repSeats","otherSeats","ses","sesNorm"
"1","AK.0",NA,54.5415175957048,588358,1.32725313499604,NA,106181,14.0298170105763,85.9701829894237,78.5234646499844,72.8887465742459,63.2288262495173,49.549354404272,37.1902694455694,26.0338478635537,6.39191569113118,0.546237085730969,NA,NA,203203,4.48517000241138,27.5852226591143,14.1402831592439,66.6580726903075,588358,3.14842323891236,1.51489399311304,NA,1.53058016434294,NA,NA,40.6750651814032,NA,NA,NA,0.128562736640903,400440,"14066","AK",0,"Young","Don","E.",39,"M","Republican",1,716,1,1," ALASKA ",0.115000002086163,0.123000003397465,NA,NA,NA,NA,NA,NA,0,0,30,113,3,2,6.66666666666667,93,"D",243,192,0,0.115804158790167,35.6631182733458
"2","AL.1",NA,15.4050782359183,543377,0.45732520883291,NA,148712,20.1543923825919,79.8456076174081,72.4682607993975,64.8474904513422,51.3448813814622,31.1474527946635,17.1822045295605,8.87419979557803,1.86400559470655,0.396067566840605,NA,NA,334565,2.69215249652534,32.8713403972322,6.83016319010068,40.2975231715554,543377,0.27678757106024,29.5818556913524,NA,1.6329535309824,NA,NA,60.5623719811475,NA,NA,NA,0.0645291354493827,403777,"10721","AL",1,"Edwards","William","Jackson",44,"M","Republican",5,716,1,1," ALABAMA",0.164000004529953,0.109999999403954,NA,NA,NA,NA,NA,NA,0,0,50,73,0,0,0,93,"D",243,192,0,-1.06374806346895,11.7725642258284
"3","AL.2",NA,24.1976926958569,530286,0.49558162953576,NA,165462,23.4416361460638,76.5583638539363,67.1876322055819,58.8431180573183,44.9347886523794,27.2044336463962,15.061464263698,8.02722075159251,1.75871197012003,0.299162345432788,NA,NA,344818,1.87722218677679,28.9341043681014,8.35617569677402,43.1195655166176,530286,0.117106617938245,27.5973719841746,NA,0.820255615486621,NA,NA,64.9451428097291,NA,NA,NA,0.060138243799206,403446,"10717","AL",2,"Dickinson","William","Louis",47,"M","Republican",5,716,1,2," ALABAMA",0.342999994754791,0.0329999998211861,NA,NA,NA,NA,NA,NA,0,0,33,89,2,1,3.03030303030303,93,"D",243,192,0,-1.0877772556077,11.285878937398
"4","AL.3",NA,20.2348368887953,555795,0.317203285384,NA,162704,25.3570901760252,74.6429098239748,66.1385091946111,58.9309420788671,44.3031517356672,25.7258579998033,12.8558609499459,6.12953584423247,1.09155275838332,0.129068738322352,NA,NA,351478,2.0382499046882,30.4949385167777,6.87416970195043,36.8650339300176,555795,0.0725087487292977,27.7562770445938,NA,1.01886593677318,NA,NA,60.9530492357794,NA,NA,NA,0.0529719239144972,408180,"11037","AL",3,"Nichols","William","Flynt",54,"M","Democrat",4,716,1,3," ALABAMA",-0.00899999961256981,0.902999997138977,NA,NA,NA,NA,NA,NA,0,0,20,103,1,0,0,93,"D",243,192,0,-1.24748681945634,8.05113451911047
"5","AL.4",NA,15.2445890331309,493752,0.148252564040247,NA,159228,21.8554525585952,78.1445474414048,69.6944004823272,61.6851307558972,46.0471776320748,25.3322280001005,11.9087095234506,5.61082221719798,1.02368930087673,0.131886351646695,NA,NA,352571,2.535659484189,33.3096028884962,4.10096471905375,32.5481814282495,493752,0.028961908002398,8.50366175731946,NA,1.06278799502637,NA,NA,91.1352257813639,NA,NA,NA,0.0476242740788413,401417,"11000","AL",4,"Bevill","Tom"," ",51,"M","Democrat",4,716,1,4," ALABAMA",-0.14300000667572,0.990000009536743,NA,NA,NA,NA,NA,NA,0,0,17,136,1,1,5.88235294117647,93,"D",243,192,0,-1.40986612635435,4.76231734388135
"6","AL.5",NA,21.9823119528319,585001,0.561708441524032,NA,153957,17.5906259540001,82.4093740459999,75.6535915872614,69.4700468312581,57.2711861104074,38.5334866228882,23.5987970667134,13.9993634586281,2.48381041459628,0.22149041615516,NA,NA,335820,2.64040259662915,32.279792746114,10.9492522171939,48.5618951756715,585001,0.083418660822802,11.1141690356085,NA,0.619677359418994,NA,NA,72.5024401667689,NA,NA,NA,0.0800779313132374,406141,"5058","AL",5,"Jones","Robert","Emmett",60,"M","Democrat",14,716,1,5," ALABAMA",-0.314999997615814,0.865000009536743,NA,NA,NA,NA,NA,NA,0,0,12,42,2,0,0,93,"D",243,192,0,-0.607562650362688,21.0121061993334
"7","AL.6",NA,13.8057244281648,688943,0.540828486536622,NA,168636,17.3616546882042,82.6383453117958,76.0229132569558,69.4561066438957,57.5007708911502,38.0838017979554,22.2123390023483,12.9053108470315,3.23121990559548,0.821295571526839,NA,NA,353817,2.26077322457655,30.3134106049172,10.5778927522252,49.2005378465676,688943,0.0741715932958169,21.4602659436267,NA,1.67875143242503,NA,NA,49.9962986778297,NA,NA,NA,0.0847754162773038,401958,"10706","AL",6,"Buchanan","John","Hall",44,"M","Republican",5,716,1,6," ALABAMA",0.0869999974966049,-0.239999994635582,NA,NA,NA,NA,NA,NA,0,0,6,148,0,0,0,93,"D",243,192,0,-0.683365227175609,19.4768070204452
"8","AL.7",NA,16.6874472686226,541494,0.256327863281957,NA,155829,27.2080293141841,72.7919706858159,64.4424336933433,56.9399790796322,44.2703219554768,27.1380808450288,14.4998684455397,7.65069402999442,1.48367762098197,0.272093127723338,NA,NA,347279,2.14064196222634,33.2110493292137,7.35912747879838,38.464856565081,541494,0.05595629868475,34.4404554805778,NA,1.06432696254333,NA,NA,56.3810494668454,NA,NA,NA,0.0656583366641783,404173,"12014","AL",7,"Flowers","Walter"," ",39,"M","Democrat",3,716,1,7," ALABAMA",-0.109999999403954,0.726000010967255,NA,NA,NA,NA,NA,NA,0,0,9,68,0,0,0,93,"D",243,192,0,-1.15564473627631,9.91129654555026
"9","AR.1",NA,20.2299642178073,547139,0.184779370507312,NA,155436,28.0913044597133,71.9086955402867,60.7973699786407,51.7428394966417,36.9412491314753,20.318330373916,10.0858231040428,5.3301680434391,1.37484237885689,0.274067783525052,NA,NA,333965,4.06359947898732,33.3064842124175,4.94786149754019,29.4101954507293,547139,0.167781861647589,20.2365395265189,NA,2.1794441677624,NA,NA,67.2651739320356,NA,NA,NA,0.050706550624156,400761,"12000","AR",1,"Alexander","William","Vollie",38,"M","Democrat",3,716,1,1," ARKANSA",-0.280000001192093,0.896000027656555,NA,NA,NA,NA,NA,NA,0,0,53,166,2,1,1.88679245283019,93,"D",243,192,0,-1.45092264840286,3.93076191081676
"10","AR.2",NA,24.5341108347266,544539,0.495832254439076,NA,165077,19.9791612399062,80.0208387600938,72.1929766109149,64.4656735947467,50.0705731264804,30.5366586502057,16.918771240088,9.10544776074196,1.95908575997868,0.368918747008972,NA,NA,343322,2.10502094243888,29.3208707860259,9.08374489768593,50.0208491933849,544539,0.125610837791233,14.4175164680583,NA,0.861115729963419,NA,NA,73.7634953602956,NA,NA,NA,0.0605281669384583,407756,"6532","AR",2,"Mills","Wilbur","Daigh",63,"M","Democrat",18,716,1,2," ARKANSA",-0.218999996781349,0.847000002861023,NA,NA,NA,NA,NA,NA,0,0,68,91,11,10,14.7058823529412,93,"D",243,192,0,-0.976131617566178,13.5471405411378
