"district","numberSponsoredBills","numberEnactedLaws","conservativenessRepresentative","republicanRepresentative","blackDistrictPop","districtMedianIncome"
"1","AK.0",56,14,0.427,1,3.3,66521
"2","AL.1",13,0,0.55,1,27.6,42333
"3","AL.2",5,0,0.51,1,30.8,40626
"4","AL.3",13,0,0.474,1,32.2,38260
"5","AL.4",7,0,0.459,1,5,37889
"6","AL.5",4,0,-0.091,0,17.5,46786
"7","AL.6",8,1,0.535,1,11.4,57797
"8","AL.7",7,0,-0.22,0,63.2,31875
"9","AR.1",23,1,-0.291,0,16.7,35025
"10","AR.2",7,1,-0.232,0,20.7,44379
"11","AR.3",9,1,0.564,1,2.4,41615
"12","AR.4",12,1,-0.157,0,24.4,35424
"13","AZ.1",23,1,0.408,1,1.6,42336
"14","AZ.2",1,0,0.929,1,3.6,52833
"15","AZ.3",23,1,0.936,1,3.3,57733
"16","AZ.4",4,0,-0.399,0,8.8,36542
"17","AZ.5",26,0,0.783,1,3.6,60724
"18","AZ.6",24,1,0.974,1,3.1,60444
"19","AZ.7",14,4,-0.551,0,3.9,39963
"20","AZ.8",17,1,0.521,1,3.5,51230
"21","CA.1",14,2,-0.386,0,1.8,50805
"22","CA.10",27,1,-0.281,0,7.4,81518
"23","CA.11",33,4,0.508,1,4.7,77900
"24","CA.12",16,1,-0.357,0,2.2,86482
"25","CA.13",16,0,-0.658,0,7.2,76547
"26","CA.14",2,0,-0.363,0,2.8,94875
"27","CA.15",11,0,-0.498,0,2.5,88090
"28","CA.16",12,0,-0.387,0,2.9,76454
"29","CA.17",9,0,-0.433,0,2.4,59495
"30","CA.18",8,0,-0.218,0,5.8,42658
"31","CA.19",13,1,0.65,1,3.9,53757
"32","CA.2",19,3,0.697,1,1.2,44266
"33","CA.20",6,0,-0.17,0,6.3,35085
"34","CA.21",11,1,0.648,1,2.3,48471
"35","CA.22",24,5,0.5,1,6.3,55679
"36","CA.23",14,0,-0.358,0,2,56960
"37","CA.24",5,0,0.556,1,1.5,78937
"38","CA.25",12,2,0.546,1,9.8,62381
"39","CA.26",12,0,0.594,1,4.5,77092
"40","CA.27",7,1,-0.316,0,4.3,59392
"41","CA.28",4,0,-0.342,0,3.6,52152
"42","CA.29",14,0,-0.295,0,5.2,59776
"43","CA.3",12,1,0.641,1,6.3,66263
"44","CA.30",20,1,-0.435,0,3.2,80507
"45","CA.31",7,0,-0.47,0,4.1,36469
"46","CA.32",12,1,-0.479,0,2.2,52719
"47","CA.33",5,1,-0.499,0,26.4,43186
"48","CA.34",6,1,-0.431,0,4.7,38383
"49","CA.35",14,1,-0.602,0,29.7,42713
"50","CA.36",14,0,-0.245,0,4.3,69375
"51","CA.37",38,1,-0.373,0,22.3,46964
"52","CA.38",1,0,-0.409,0,3.3,54326
"53","CA.39",5,0,-0.467,0,5.6,56364
"54","CA.4",15,2,0.592,1,1.5,64849
"55","CA.40",9,0,0.914,1,2.4,69707
"56","CA.41",9,6,0.488,1,6.1,51170
"57","CA.42",11,0,0.657,1,2.6,88819
"58","CA.43",18,0,-0.306,0,11,49836
"59","CA.44",9,0,0.489,1,5.4,70452
"60","CA.45",13,2,0.648,1,6.7,54027
"61","CA.46",19,0,0.91,1,1.6,76031
"62","CA.47",11,0,-0.341,0,1.4,52723
"63","CA.48",11,0,0.8885,1,1.6,86989
"64","CA.49",23,2,0.71,1,4.7,61437
"65","CA.5",2,0,-0.398,0,13.8,47715
"66","CA.50",10,0,0.601705882352941,1,1.8,79032
"67","CA.51",25,0,-0.614,0,7.9,51158
"68","CA.52",14,4,0.608,1,4.4,70747
"69","CA.53",13,0,-0.301,0,6.7,51061
"70","CA.6",12,1,-0.561,0,2.2,70712
"71","CA.7",27,0,-0.576,0,15.1,64508
"72","CA.8",3,1,-0.432,0,7,67894
"73","CA.9",26,1,-0.655,0,20.8,55237
"74","CO.1",8,0,-0.413,0,10.1,45045
"75","CO.2",38,1,-0.328,0,1.1,65156
"76","CO.3",9,0,-0.235,0,0.8,47651
"77","CO.4",17,2,0.751,1,1,52067
"78","CO.5",16,0,0.888,1,5.6,54352
"79","CO.6",16,0,0.954,1,2.6,85841
"80","CO.7",14,0,0.749,1,7,51305
"81","CT.1",13,0,-0.371,0,14.2,61717
"82","CT.2",31,2,0.343,1,3.6,70796
"83","CT.3",34,1,-0.404,0,12.9,62090
"84","CT.4",27,0,0.479,1,11.8,83791
"85","CT.5",28,0,0.294,1,6,65725
"86","DE.0",49,0,0.613,1,21,57599
"87","FL.1",13,4,0.829,1,14.1,47257
"88","FL.10",3,2,0.477,1,5.3,45641
"89","FL.11",6,1,-0.224,0,28.5,39605
"90","FL.12",1,0,0.614,1,15.4,46057
"91","FL.13",12,0,0.695,1,5.3,48592
"92","FL.14",2,0,0.854,1,6.9,52244
"93","FL.15",14,0,0.654,1,9.2,47978
"94","FL.16",27,2,0.52,1,8.8,47617
"95","FL.17",11,0,-0.315,0,58.9,36812
"96","FL.18",18,2,0.426,1,7.6,40934
